"# If the text in the first column of a row starts with a # character, the row is ignored",,
,,"If the first column for a row is blank, then the row is ignored"
# The first non-comment line of a sound alias file specifies the key name for all values appearing in this column.,,
"# This means it is safe to swap entire columns around, though you should never swap partial columns.",,
"# You can invent new keys, but the game will ignore them if it doesn't know about them.",,
"# You can leave out keys, but the ""name"" and ""file"" keys must always be present.",,

,name,name of the alias that is used to play this sound (required)
,sequence,"used to uniquely identify alias entries when more than one sound goes to an alias, used only to catch unwanted duplicates (default = 0)"
,file,the name of the file that contains the sound data (required)
,vol_min,"0 is silent, 1 is full volume (default = 1)"
,vol_max,"0 is silent, 1 is full volume (default = same as vol_min)"
,pitch_min,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = 1)"
,pitch_max,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = same as pitch_min)"
,dist_min,"within this distance in inches, the sound is always full volume (default = 120)"
,dist_max,"outside this distance in inches, the sound is not started.  If left blank or set to 0, the sound will play from any distance.  This does not affect sound volume falloff."
,channel,"auto, menu, weapon, voice, item, body, local, music, announcer (default = auto)",,,,,,,,,,,,,
,type,streamed / loaded (default = loaded),,,,,,,,,,,,,
,probability,weight to use for the weighted probability of playing this sound instead of another sound (default = 1),,,,,,,,,,,,,
,loop,"whether this sound is ""looping"" or ""nonlooping"" (default = ""nonlooping"")",,,,,,,,,,,,,
,masterslave,"if ""master"", this is a master sound.  If a number, then this sound won't exceed this volume whenever any master sound is playing.  If blank, then neither master nor slave.",,,,,,,,,,,,,
,loadspec,"space-separated list of which maps should use this alias; eg, ""burnville dawnville"".  If blank, the alias is used on all maps.",,,,,,,,,,,,,

name,sequence,file,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle


#BASTOGNE1,,,,,,,,,,,,,,,
jeepride,,music/jeepride.mp3,1.25,,,,,,music,streamed,,,,bastogne1,

#BASTOGNE2,,,,,,,,,,,,,,,
bastogne_night_datestamp,,music/training_datestamp.mp3,0.6,,,,,,music,streamed,,,,bastogne2,
bastogne_night_tense,,music/redsquare_tense.mp3,1,,,,,,music,streamed,,looping,,bastogne2,
bastogne_night_dark,,music/redsquare_dark.mp3,0.7,,,,,,music,streamed,,looping,,bastogne2
bastogne_night_stealth,,music/pf_stealth.mp3,0.7,,,,,,music,streamed,,looping,,bastogne2

#FOY,,,,,,,,,,,,,,
datestamp,,music/datestamp.mp3,0.8,,,,,,music,streamed,,,,foy

#NOVILLE,,,,,,,,,,,,,,
noville_streetfight,,music/redsquare_tense.mp3,1.25,,,,,,music,streamed,,looping,,noville
noville_finale,,music/pegasusbridge.mp3,1.2,,,,,,music,streamed,,,,noville

#BOMBER,,,,,,,,,,,,,,
bomber_frantic,,music/pf_frantic.mp3,1,,,,,,music,streamed,,looping,,bomber

#TRAINBRIDGE,,,,,,,,,,,,,,
trainbridge_atmosphere,,music/ship_loop.mp3,0.7,,,,,,music,streamed,,looping,,trainbridge
trainbridge_crash,,music/train_crash.mp3,1,,,,,,music,streamed,,,,trainbridge
trainbridge_action,,music/ship_action.mp3,1,,,,,,music,streamed,,looping,,trainbridge
trainbridge_dark,,music/redsquare_dark.mp3,0.6,,,,,,music,streamed,,looping,,trainbridge
trainbridge_truck,,music/airfield_main.mp3,1,,,,,,music,streamed,,,,trainbridge

#SICILY1,,,,,,,,,,,,,,
sicily1_boatride,,music/sicily_boatride.mp3,1,,,,,,music,streamed,,,,sicily1
sicily1_stealth,,music/redsquare_dark.mp3,1,,,,,,music,streamed,,looping,,sicily1
sicily1_bunker,,music/redsquare_tense.mp3,1,,,,,,music,streamed,,looping,,sicily1
sicily1_escape,,music/airfield_main.mp3,1.2,,,,,,music,streamed,,,,sicily1

#SICILY 2,,,,,,,,,,,,,,
sicily2_bikeride,,music/airfield_main.mp3,1.2,,,,,,music,streamed,,,,sicily2
sicily2_onfoot_1,,music/dam_b.mp3,0.75,,,,,,music,streamed,,,,sicily2
sicily2_onfoot_2,,music/dam_a.mp3,0.75,,,,,,music,streamed,,,,sicily2

#TRENCHES,,,,,,,,,,,,,,
trenches_datestamp,,music/training_datestamp.mp3,0.8,,,,,,music,streamed,,,,trenches
trenches_a,,music/stalingrad_boatride.mp3,1.25,,,,,,music,streamed,,,,trenches
trenches_a_loop,,music/stalingrad_boatride.mp3,1.25,,,,,,music,streamed,,looping,,trenches
trenches_victory,,music/stalingrad_victory.mp3,1.25,,,,,,music,streamed,,,,trenches

#KHARKOV1,,,,,,,,,,,,,,
kharkov1_start,,music/redsquare_tense.mp3,1.4,,,,,,music,streamed,,looping,,kharkov1
kharkov1_buildings,,music/redsquare_dark.mp3,1.4,,,,,,music,streamed,,,,kharkov1
kharkov1_battle,,music/stalingrad_battle.mp3,1.4,,,,,,music,streamed,,looping,,kharkov1

#KHARKOV2,,,,,,,,,,,,,,
kharkov2_start,,music/tankdrive_a.mp3,1.2,,,,,,music,streamed,,looping,,kharkov2
kharkov2_battle,,music/stalingrad_battle.mp3,1.2,,,,,,music,streamed,,,,kharkov2
kharkov2_victory,,music/redsquare_charge.mp3,1.1,,,,,,music,streamed,,,,kharkov2


#Silent track to use for fading in,,,,,,,,,,,,,,
silent,,music/silent_blender.mp3,0,,,,,,music,streamed,,,,game_uo
