"# If the text in the first column of a row starts with a # character, the row is ignored",,
,,"If the first column for a row is blank, then the row is ignored"
# The first non-comment line of a sound alias file specifies the key name for all values appearing in this column.,,
"# This means it is safe to swap entire columns around, though you should never swap partial columns.",,
"# You can invent new keys, but the game will ignore them if it doesn't know about them.",,
"# You can leave out keys, but the ""name"" and ""file"" keys must always be present.",,

,name,name of the alias that is used to play this sound (required)
,sequence,"used to uniquely identify alias entries when more than one sound goes to an alias, used only to catch unwanted duplicates (default = 0)"
,file,the name of the file that contains the sound data (required)
,vol_min,"0 is silent, 1 is full volume (default = 1)"
,vol_max,"0 is silent, 1 is full volume (default = same as vol_min)"
,pitch_min,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = 1)"
,pitch_max,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = same as pitch_min)"
,dist_min,"within this distance in inches, the sound is always full volume (default = 120)"
,dist_max,"outside this distance in inches, the sound is not started.  If left blank or set to 0, the sound will play from any distance.  This does not affect sound volume falloff."
,channel,"auto, menu, weapon, voice, item, body, local, music, announcer (default = auto)",,,,,,,,,,,,,
,type,streamed / loaded (default = loaded),,,,,,,,,,,,,
,probability,weight to use for the weighted probability of playing this sound instead of another sound (default = 1),,,,,,,,,,,,,
,loop,"whether this sound is ""looping"" or ""nonlooping"" (default = ""nonlooping"")",,,,,,,,,,,,,
,masterslave,"if ""master"", this is a master sound.  If a number, then this sound won't exceed this volume whenever any master sound is playing.  If blank, then neither master nor slave.",,,,,,,,,,,,,
,loadspec,"space-separated list of which maps should use this alias; eg, ""burnville dawnville"".  If blank, the alias is used on all maps.",,,,,,,,,,,,,
name,sequence,file,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle

#TRENCHES,,,,,,,,,,,,,,,
#misc,,,,,,,,,,,,,,,
machineguns_ready,,voiceovers/ru/ph/Pavlov_MGReady.wav,1.14,1.14,,,100,5000,voice,streamed,,,,trenches,GMI_SUBTITLES_TRENCHES_MACHINEGUNS_READY
#fire,,voiceovers/ru/redsquare/Redsquare_Comm1_06.wav,1.14,1.14,,,100,5000,voice,streamed,,,,trenches,GMI_SUBTITLES_TRENCHES_FIRE
pinned_down,,voiceovers/generic/allies/ru/nj/NJ_RU_UndSup_01.wav,1.14,1.14,,,100,2500,voice,streamed,,,,trenches,GMI_SUBTITLES_TRENCHES_PINNED_DOWN
help_me,,voiceovers/generic/allies/ru/nj/NJ_RU_UndSup_03.wav,1.14,1.14,,,100,2500,voice,streamed,,,,trenches,GMI_SUBTITLES_TRENCHES_HELP_ME

#misc re-use,,,,,,,,,,,,,,,
brecourt_medic_sorry,,voiceovers/us/brecourt/Brecourt_Medic_001alt.wav,1,1,,,80,5000,voice,streamed,,,,bastogne1,SUBTITLE_BRECOURT_MEDIC_SORRY


#miesha,,,,,,,,,,,,,,,
miesha_ev03_01,,voiceovers/trenches/miesha_ev03_01.mp3,1.6,,,,500,5000,voice,streamed,,,,trenches,GMI_SUBTITLES_TRENCHES_MIESHA_EV03_01
miesha_ev05_01,,voiceovers/trenches/miesha_ev05_01.mp3,1.6,,,,500,5000,voice,streamed,,,,trenches,GMI_SUBTITLES_TRENCHES_MIESHA_EV05_01
#miesha_ev06_01,,voiceovers/trenches/miesha_ev06_01.mp3,1.4,,,,80,2500,voice,streamed,,,,trenches,GMI_SUBTITLES_TRENCHES_MIESHA_EV06_01
#miesha_ev08_01,,voiceovers/trenches/miesha_ev08_01.mp3,1.4,,,,80,2500,voice,streamed,,,,trenches,GMI_SUBTITLES_TRENCHES_MIESHA_EV08_01
miesha_ev10_01,,voiceovers/trenches/miesha_ev10_01.mp3,1.4,,,,80,2500,voice,streamed,,,,trenches,GMI_SUBTITLES_TRENCHES_MIESHA_EV10_01
miesha_comin_round,,voiceovers/trenches/miesha_comin_round.mp3,1.4,,,,80,2500,voice,streamed,,,,trenches,GMI_SUBTITLES_TRENCHES_MIESHA_COMIN_ROUND
miesha_you_alright,,voiceovers/trenches/miesha_you_alright.mp3,1.4,,,,80,2500,voice,streamed,,,,trenches,GMI_SUBTITLES_TRENCHES_MIESHA_YOU_ALRIGHT

#Guards Sergeant in Bunker,,,,,,,,,,,,,,,
gs_bunker_ev07_01,,voiceovers/trenches/gs_bunker_ev07_01.mp3,1.6,,,,300,2500,voice,streamed,,,,trenches,GMI_SUBTITLES_TRENCHES_GS_BUNKER_EV07_01
gs_bunker_ev07_02,,voiceovers/trenches/gs_bunker_ev07_02.mp3,1.6,,,,300,2500,voice,streamed,,,,trenches,GMI_SUBTITLES_TRENCHES_GS_BUNKER_EV07_02
