"# If the text in the first column of a row starts with a # character, the row is ignored",,
,,"If the first column for a row is blank, then the row is ignored"
# The first non-comment line of a sound alias file specifies the key name for all values appearing in this column.,,
"# This means it is safe to swap entire columns around, though you should never swap partial columns.",,
"# You can invent new keys, but the game will ignore them if it doesn't know about them.",,
"# You can leave out keys, but the ""name"" and ""file"" keys must always be present.",,

,name,name of the alias that is used to play this sound (required)
,sequence,"used to uniquely identify alias entries when more than one sound goes to an alias, used only to catch unwanted duplicates (default = 0)"
,file,the name of the file that contains the sound data (required)
,vol_min,"0 is silent, 1 is full volume (default = 1)"
,vol_max,"0 is silent, 1 is full volume (default = same as vol_min)"
,pitch_min,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = 1)"
,pitch_max,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = same as pitch_min)"
,dist_min,"within this distance in inches, the sound is always full volume (default = 120)"
,dist_max,"outside this distance in inches, the sound is not started.  If left blank or set to 0, the sound will play from any distance.  This does not affect sound volume falloff."
,channel,"auto, menu, weapon, voice, item, body, local, music, announcer (default = auto)",,,,,,,,,,,,,,,
,type,streamed / loaded (default = loaded),,,,,,,,,,,,,,,
,probability,weight to use for the weighted probability of playing this sound instead of another sound (default = 1),,,,,,,,,,,,,,,
,loop,"whether this sound is ""looping"" or ""nonlooping"" (default = ""nonlooping"")",,,,,,,,,,,,,,,
,masterslave,"if ""master"", this is a master sound.  If a number, then this sound won't exceed this volume whenever any master sound is playing.  If blank, then neither master nor slave.",,,,,,,,,,,,,,,
,loadspec,"space-separated list of which maps should use this alias; eg, ""burnville dawnville"".  If blank, the alias is used on all maps.",,,,,,,,,,,,,,,

name,sequence,file,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,lod_min,lod_max,channel,type,probability,loop,masterslave,loadspec,subtitle

#Ambient Tracks,,,,,,,,,,,,,,,,,
ambient_trenches_01,,ambient/amb_trenches01_rain.mp3,1.1,,,,,,,,local,streamed,,looping,,trenches test/sound_test test/sg_test,
ambient_trenches_01_int,,ambient/amb_trenches01_rain_int.mp3,1.1,,,,,,,,local,streamed,,looping,,trenches test/sound_test test/sg_test,
ambient_trenches_02,,ambient/amb_trenches02_rain.mp3,1.1,,,,,,,,local,streamed,,,,trenches test/sound_test test/sg_test,
ambient_trenches_03,,ambient/amb_trenches03_rain.mp3,1.1,,,,,,,,local,streamed,,looping,,trenches test/sound_test test/sg_test,
ambient_foy_ext,,ambient/amb_snowy_ext.mp3,1,,,,,,,,local,streamed,,looping,,foy,
ambient_foy_int,,ambient/amb_snowy_int.mp3,0.65,,,,,,,,local,streamed,,looping,,foy,
ambient_foy_quiet,,ambient/amb_snowy_quiet.mp3,1,,,,,,,,local,streamed,,looping,,foy 
ambient_noville_ext,,ambient/amb_blizzard.mp3,1.35,,,,,,,,local,streamed,,looping,,noville
ambient_noville_int,,ambient/amb_blizzard_int.mp3,1,,,,,,,,local,streamed,,looping,,noville
#ambient_train_ride,,ambient/amb_train_ride.mp3,1.25,,,,,,,,local,streamed,,,,trenches 
#ambient_train_stop,,ambient/amb_train_stop.mp3,1.35,,,,,,,,local,streamed,,,,trenches 
#ambient_train_stop_short,,ambient/amb_train_stop_short.mp3,1.35,,,,,,,,local,streamed,,,,trenches 
ambient_rain_combat_int,,ambient/amb_rain_combat_int.mp3,1.25,,,,,,,,local,streamed,,looping,,trenches 
ambient_kharkov_ext,,ambient/amb_berlin_ext.mp3,1,,,,,,,,local,streamed,,looping,,kharkov1 kharkov2
ambient_kharkov_int,,ambient/amb_berlin_int.mp3,0.85,,,,,,,,local,streamed,,looping,,kharkov1 kharkov2
ambient_tankdrive_country,,ambient/amb_snowy_ext.mp3,1,,,,,,,,local,streamed,,looping,,kursk kursk2
ambient_burnville,,ambient/amb_burnville_ext.mp3,0.75,,,,,,,,local,streamed,,looping,,kursk
ambient_bastogne1_ext,,ambient/amb_snowy_ext.mp3,1,,,,,,,,local,streamed,,looping,,bastogne1
ambient_bastogne2_ext,,ambient/amb_bastogne2.mp3,1.25,,,,,,,,local,streamed,,looping,,bastogne2
ambient_bastogne2_int,,ambient/amb_snowy_int.mp3,0.65,,,,,,,,local,streamed,,looping,,bastogne2
ambient_sicily1_ext_01,,ambient/amb_shoreline01.mp3,1.3,,,,,,,,local,streamed,,looping,,sicily1
ambient_sicily1_ext_02,,ambient/amb_sicily_night.mp3,1.4,,,,,,,,local,streamed,,looping,,sicily1
ambient_sicily1_int,,ambient/amb_chateau_int.wav,0.6,,,,,,,,local,streamed,,looping,,sicily1
ambient_sicily1_underground_int,,ambient/amb_dam_int.wav,1,,,,,,,,local,streamed,,looping,,sicily1
ambient_sicily2_ext,,ambient/amb_sicily_day.mp3,1.2,,,,,,,,local,streamed,,looping,,sicily2
ambient_sicily2_int,,ambient/amb_chateau_int.wav,1,,,,,,,,local,streamed,,looping,,sicily2
ambient_sicily2_village_ext,,ambient/amb_sicily_village.mp3,1.5,,,,,,,,local,streamed,,looping,,sicily2
ambient_sicily2_village_int,,ambient/amb_chateau_int.wav,0.5,,,,,,,,local,streamed,,looping,,sicily2
ambient_sicily2_shoreline,,ambient/amb_shoreline01.mp3,1.3,,,,,,,,local,streamed,,looping,,sicily2
ambient_trainbridge_ext,,ambient/amb_trainbridge.mp3,1.6,,,,,,,,local,streamed,,looping,,trainbridge
ambient_trainbridge_int,,ambient/amb_trainbridge_int.mp3,1,,,,,,,,local,streamed,,looping,,trainbridge


#Final Cutscene,,,,,,,,,,,,,,,,
cs_finale01,,ambient/cs_finale01.mp3,1.4,,,,,,,,local,streamed,,,,kharkov2
cs_finale02,,ambient/cs_finale02.mp3,1.4,,,,,,,,local,streamed,,,,kharkov2
cs_finale03,,ambient/cs_finale03.mp3,1.5,,,,,,,,local,streamed,,,,kharkov2
cs_finale04,,ambient/cs_finale04.mp3,1.5,,,,,,,,local,streamed,,,,kharkov2
cs_finale05,,ambient/cs_finale05.mp3,1.5,,,,,,,,local,streamed,,,,kharkov2
cs_finale06,,ambient/cs_finale06.mp3,1.5,,,,,,,,local,streamed,,,,kharkov2

#Bomber Ambient,,,,,,,,,,,,,,,,
ambient_squadron_steady,,ambient/amb_squadron_steady.mp3,1.25,,,,,,,,local,streamed,,looping,,bomber
ambient_damage_01,,ambient/amb_damage01.mp3,1.25,,,,,,,,local,streamed,,looping,0.7,bomber
ambient_bomber_destroyed,,ambient/amb_damage01.mp3,1.25,,,,,,,,local,streamed,,looping,0.7,bomber
ambient_bail_out,,weather/bomber_wind03.wav,0.7,,,,,,,,local,streamed,,looping,,bomber

#50 Cal Ball turret,,,,,,,,,,,,,,,,
weap_50_ball_fire,,weapons/50cal/50_ball_03.wav,1.1,1.25,0.98,1.02,7,7800,,,weapon,,,,,bomber
weap_50_ai_fire,,weapons/50cal/50_ball_03.wav,1.5,1.7,0.98,1.02,7,15000,,,weapon,,,,,bomber
ball_turret_spin,,vehicles/dorsal_spin01.wav,0.7,,,,50,300,,,,,,looping,,bomber
ball_turret_spin_high,,vehicles/dorsal_spin01.wav,1,,,,50,300,,,,,,looping,,bomber
ball_turret_spin_low,,vehicles/dorsal_spin01.wav,0,,,,50,300,,,,,,looping,,bomber
ball_turret_stop,,vehicles/dorsal_end01.wav,0.6,0.7,0.8,,50,300,,,,,,,,bomber

#50cal waist anim burst,,,,,,,,,,,,,,,,
weap_50cal_waist_anim,1,weapons/50cal/50cal_burst01.wav,1.1,1.25,0.98,1.02,7,4000,,,auto,,,,,bomber
weap_50cal_waist_anim,2,weapons/50cal/50cal_burst02.wav,1.1,1.25,0.98,1.02,7,4000,,,auto,,,,,bomber
weap_50cal_waist_anim,3,weapons/50cal/50cal_burst03.wav,1.1,1.25,0.98,1.02,7,4000,,,auto,,,,,bomber
weap_50cal_waist_anim,4,weapons/50cal/50cal_burst04.wav,1.1,1.25,0.98,1.02,7,4000,,,auto,,,,,bomber

#B17 Dorsal Turret,,,,,,,,,,,,,,,,
dorsal_turret_spin,,vehicles/dorsal_spin01.wav,0.5,,0.8,,50,300,,,,,,looping,,bomber
dorsal_turret_spin_high,,vehicles/dorsal_spin01.wav,1,,,,50,300,,,,,,looping,,bomber
dorsal_turret_spin_low,,vehicles/dorsal_spin01.wav,0,,,,50,300,,,,,,looping,,bomber
dorsal_turret_stop,,vehicles/dorsal_end01.wav,0.3,0.4,0.8,,50,300,,,,,,,,bomber
turret_die,,explosions/turret_die.wav,1,,,,200,500,,,auto,streamed,,,,bomber

#B17 Bomb drops,,,,,,,,,,,,,,,,
distant_bomb_whistles,,misc/bomb_whistle_long03.mp3,0.5,,,,,,,,local,streamed,,,,bomber
bomb_whistle,1,misc/bomb_whistle01.wav,0.9,1.1,0.9,1.1,7,10000,,,,,,,master,bomber
bomb_whistle,2,misc/bomb_whistle02.wav,0.9,1.1,0.9,1.1,7,10000,,,,,,,master,bomber
bomb_whistle,3,misc/bomb_whistle03.wav,0.9,1.1,0.9,1.1,7,10000,,,,,,,master,bomber
bomb_whistle,4,misc/bomb_whistle04.wav,0.9,1.1,0.9,1.1,7,10000,,,,,,,master,bomber
bombs_away_01,,misc/bombs_away01.mp3,0.7,,,,,,,,local,streamed,,,,kharkov2
bombs_away_01a,,misc/bombs_away01.mp3,1.2,,,,,,,,local,streamed,,,,kharkov2

#B17 bomb release,,,,,,,,,,,,,,,,
bomb_release,1,misc/bomb_release01.wav,0.8,1,0.8,1.2,20,500,,,,,,,,bomber
bomb_release,2,misc/bomb_release03.wav,0.8,1,0.8,1.2,20,500,,,,,,,,bomber
bomb_release,3,null.wav,0.8,1,0.8,1.2,20,500,,,,,,,,bomber
bomb_release,4,misc/bomb_release03.wav,0.8,1,0.8,1.2,20,500,,,,,,,,bomber
bomb_release,5,null.wav,0.8,1,0.8,1.2,20,500,,,,,,,,bomber

